group_url;text;comments;likes;reposts
samsung.galaxy_a;"Автор этого поста https://vk.com/id401283171

⚠️⚠️⚠️ У тех у кого по ссылке не открывает приложение ""Splashtop Add-on: Samsung (Knox), смотрите последний скриншот чтоб его найти в Play Маркет.

Package Disabler Pro_15.2 (112)( Mod)

У кого перестал работать и не запускается Package Disabler Pro , эта инструкция обхода и подмены лицензии от другого приложения , для вас 

ИНСТРУКЦИЯ УСТАНОВКИ

1.Скачать с Play Маркет ""Splashtop Add-on: Samsung (Knox)"" 👉 https://play.google.com/store/apps/details?id=com.splashtop.streamer.addon.Knox

2.Дать все разрешения и права администратора , как на ( рис.1 )

3.Открыть Защищённую папку / Добавить приложения / Splashtop Add-on: Samsung (Knox) / Добавить / Сделать всё также как в п.2 ( но уже в Зашищенной папке )

4.⚠️ Выйти и закрыть Защищённую папку ⚠️

5.Удалить Splashtop Add-on: Samsung (Knox) ( прежде отключив его в Администраторах , иначе не удалится ) с экрана или меню приложений

6.Открыть Защищенную папку / Три точки ( в правом верхнем углу ) / Настройки /Дополннительные настройки / Удалить ( рис.2 )

7.Установить и запустить Package Disabler Pro_15.2 (112)( Mod) 👉 https://yadi.sk/d/InLeMludAm-1Cg

Всё , теперь он работает ( рис.3 )

P.S.Теперь опять можно ( кому это надо ) активировать Защищённую папку , но данные с неё будут удалены и по этому стоит заранее позаботится о них , прежде чем делать п.6 ⚠️

Всё правильно сделаете всё получится , всё просто делов на 5 мин.😉";32;3;0
samsung.galaxy_a;"Samsung a50 
При игре в пабг, иногда наблюдаются дикие лаги, пинг стабильно 20-30, будто fps не хватает, но потом резко может прекратиться. Что может быть?? 
Грифон плавно/fps экстремальный";21;1;0
samsung.galaxy_a;"День добрый)
У меня вопрос: сколько памяти занимает запись экрана на A70? Мне надо записать 1 час 30 минут, сколько будет весть такой файл и хватит ли у меня памяти для этого.
Кто-нибудь может записать секунд 30 вс помощью системной функции и сказать сколько «весит» такая запись, а уж посчитать/прикинуть я смогу. Заранее спасибо.
И ещё, если часть записи будет видео с чатом из стандартного браузера, звук будет записываться, когда я выбираю звук только мультимедиа, без микрофона?";3;0;0
samsung.galaxy_a;Здравствуйте, кто может точку доступа мегафона кинуть?;4;0;0
samsung.galaxy_a;Добрый вечер, как сделать, чтобы свои обои двигались вместе с рабочим столом?;8;0;0
samsung.galaxy_a;;3;2;0
samsung.galaxy_a;Доброго времени суток! Телефон Galaxy A31, плеер сторонний neutron, не могу добиться приемлемого качества звучания. Какие настройкм оптимальны для беспроводных ушей? Какой кодек выбрать?;1;0;0
samsung.galaxy_a;;0;3;0
samsung.galaxy_a;"Здравствуйте! Помогите решить проблему  значки(индикаторы"" статус бара перемещаются постоянно то из положенного места к краю дисплея, то обратно, и это раздражает, и это не исправляется ни с каким обновлением. Аппарат: Galaxy A31. Спасибо!";9;0;0
samsung.galaxy_a;Все привет!!!! На днях пришло новое обновление, кто обновлял? Как вам, стоит обновлять?;11;1;0
samsung.galaxy_a;Всем привет, не могу найти где изменить вид недавних приложений?);12;0;0
samsung.galaxy_a;Помогите пож-та с недавнего времени картинки jpg скаченные с приложения вк стали не открываться, как будто скачиваются не доконца. В галереи их не видно, вижу в загрузках только. Телефон самсунг А6 галакси;3;0;0
samsung.galaxy_a;"Здравствуйте,у меня такая проблема ....когда играю в игры у меня как будто касание отстаёт от пальцев..а иногда все норм,не понимаю из за чего это проблема?? Иногда отстает а иногда все плавно работает..экран
Телефон Samsung A50 4/64";2;0;0
samsung.galaxy_a;Привет. Хочу на a71 установить гугл камеру кто что скажет?;3;0;0
samsung.galaxy_a;"Подскажите,не включается 
Просто заставка и все";15;0;0
samsung.galaxy_a;"Здравствуйте, такая проблема. 
Хочу послушать голосовое сообщение в вк,подношу телефон к уху, звук идёт с основного динамика.
Как сделать, чтоб звук шёл с этого динамика?
Спасибо";4;1;0
samsung.galaxy_a;"Всем привет. А это нормально что по контуру капли(где фронталка) что то зелёное, как будто пиксели. На а50 такое было, и тут тоже. Это норма? 
Аппарат: Galaxy A41";16;0;0
samsung.galaxy_a;Как сделать чтоб когда приходят смс и увидомления отображались на экране?;8;0;0
samsung.galaxy_a;Привет. Никто не знает как через настройки поставить пароль на приложения? Или этого просто нет;4;0;0
samsung.galaxy_a;;0;4;0
samsung.galaxy_a;;0;1;0
samsung.galaxy_a;"Доброго ребят.
Как и где установить гугл камеру не самсу а11 ?";1;0;0
samsung.galaxy_a;Как отключить вибрацию уведомлений? Все настройки перелазил,  не где нет этой функции;1;1;0
samsung.galaxy_a;Всем доброго дня. Подскажите, как сделать, чтобы стояла скачанная тема, но приложение настроек и шторка были стоковыми. А 71, прав рут нет.;0;0;0
samsung.galaxy_a;Народ всем привет. Владелец сотового телефона Samsung Galaxy a71. Покупал летом, все устраивает, но есть одно но... проблема со связью бесконечные переключения от 4g do H H+.  Думал проблема в сим картах, заменил на новые проблема так и осталась. Может кто сталкивался с такой проблемой, делал сброс парметров сети не помогло обращался к оператором сотовой связи с их стороны все хорошо. Может ли это быть заводским браком или же какие нибудь сторонние проблемы. Спасибо за ранее.;7;0;0
samsung.galaxy_a;"Здравствуйте,  у кого Самсунг a21s ? 
Наблюдаются не большие проблемы с сенсором , до этого был редми нот 7 , там все плавно нажималось,  а тут чувствительность сенсора вообще дно , иногда надо по два раза нажимать особенно с верху,  
Это нормально?";16;0;0
samsung.galaxy_a;Добрый вечер, понравились часы для always displei, но они некорректно работают, то тускло еле видно,то нормально. Кто такими пользуется. Как у вас работают?;14;0;0
